iter	Passed	Remaining
402	10270	15214
403	10297	15190
404	10322	15164
405	10349	15141
406	10375	15117
407	10400	15090
408	10425	15064
409	10450	15038
410	10479	15017
411	10505	14993
412	10530	14967
413	10554	14939
414	10582	14918
415	10609	14894
416	10632	14865
417	10660	14842
418	10685	14816
419	10712	14793
420	10740	14771
421	10764	14744
422	10792	14721
423	10814	14691
424	10841	14667
425	10865	14641
426	10891	14615
427	10917	14591
428	10944	14567
429	10971	14543
430	10998	14520
431	11024	14494
432	11049	14469
433	11087	14459
434	11111	14432
435	11137	14406
436	11162	14381
437	11188	14356
438	11214	14331
439	11241	14307
440	11271	14287
441	11301	14267
442	11331	14247
443	11355	14219
444	11378	14191
445	11406	14168
446	11432	14144
447	11460	14121
448	11487	14097
449	11514	14073
450	11540	14048
451	11567	14023
452	11594	13999
453	11618	13972
454	11646	13950
455	11671	13924
456	11696	13897
457	11722	13872
458	11746	13845
459	11772	13819
460	11799	13795
461	11826	13771
462	11851	13745
463	11877	13720
464	11901	13693
465	11926	13667
466	11952	13642
467	11978	13616
468	12005	13592
469	12030	13565
470	12056	13541
471	12082	13516
472	12107	13489
473	12132	13463
474	12157	13437
475	12182	13410
476	12209	13386
477	12235	13362
478	12262	13337
479	12290	13314
480	12322	13296
481	12350	13272
482	12376	13247
483	12400	13220
484	12426	13195
485	12454	13171
486	12478	13144
487	12505	13120
488	12529	13093
489	12553	13066
490	12580	13041
491	12603	13013
492	12634	12993
493	12661	12969
494	12687	12943
495	12715	12920
496	12739	12893
497	12770	12872
498	12797	12848
499	12830	12830
500	12856	12804
501	12881	12779
502	12909	12755
503	12933	12727
504	12959	12703
505	12985	12677
506	13015	12656
507	13041	12631
508	13068	12606
509	13093	12580
510	13119	12555
511	13143	12527
512	13169	12501
513	13194	12476
514	13218	12448
515	13244	12423
516	13270	12397
517	13294	12370
518	13322	12347
519	13348	12321
520	13373	12295
521	13404	12274
522	13430	12249
523	13456	12224
524	13485	12201
525	13511	12176
526	13537	12150
527	13560	12121
528	13584	12095
529	13611	12070
530	13640	12047
531	13663	12019
532	13687	11992
533	13713	11967
534	13736	11939
535	13760	11912
536	13785	11885
537	13814	11862
538	13838	11835
539	13866	11811
540	13891	11786
541	13915	11758
542	13940	11732
543	13965	11706
544	13994	11683
545	14020	11658
546	14048	11634
547	14075	11609
548	14099	11582
549	14126	11558
550	14151	11531
551	14176	11505
552	14199	11477
553	14228	11454
554	14253	11428
555	14280	11403
556	14307	11378
557	14332	11353
558	14359	11328
559	14385	11302
560	14408	11275
561	14433	11248
562	14457	11222
563	14484	11197
564	14508	11170
565	14533	11143
566	14560	11119
567	14588	11095
568	14612	11068
569	14640	11044
570	14667	11019
571	14690	10992
572	14717	10967
573	14741	10940
574	14767	10915
575	14792	10889
576	14823	10866
577	14849	10841
578	14872	10814
579	14900	10790
580	14926	10764
581	14951	10738
582	14978	10713
583	15002	10686
584	15031	10663
585	15058	10638
586	15085	10613
587	15111	10588
588	15136	10562
589	15162	10536
590	15189	10511
591	15214	10485
592	15240	10459
593	15264	10433
594	15292	10408
595	15316	10382
596	15343	10357
597	15366	10330
598	15391	10303
599	15416	10277
600	15444	10253
601	15470	10227
602	15495	10201
603	15522	10176
