iter	Logloss
0	0.6162210336
1	0.5580549514
2	0.510609514
3	0.4748434252
4	0.4470101821
5	0.4245004685
6	0.4067001446
7	0.3923568374
8	0.380597336
9	0.3712642178
10	0.3636811278
11	0.3574973609
12	0.3524659923
13	0.3483892499
14	0.3447613843
15	0.3417547446
16	0.3391620819
17	0.3371704026
18	0.3351855569
19	0.3336862949
20	0.3323573265
21	0.3310832169
22	0.3297566025
23	0.3288731596
24	0.3278103624
25	0.3269868798
26	0.3264275847
27	0.3258284869
28	0.3252348109
29	0.3248753853
30	0.3244609061
31	0.3240585497
32	0.3235695895
33	0.3232544682
34	0.3230255677
35	0.3227549486
36	0.3223792213
37	0.3221377412
38	0.321823381
39	0.3216610608
40	0.3214306987
41	0.3212533053
42	0.3210809
43	0.3209440096
44	0.3207859802
45	0.32061969
46	0.3204716662
47	0.3203697573
48	0.3203307456
49	0.3202334328
50	0.3201024677
51	0.3199800797
52	0.3198366867
53	0.3197087834
54	0.3195442433
55	0.3194368933
56	0.3193447937
57	0.3192133556
58	0.3191426419
59	0.3190325502
60	0.318945099
61	0.3188058308
62	0.3187256928
63	0.3186208608
64	0.3185508686
65	0.3184728954
66	0.3184127995
67	0.3183551003
68	0.3182655454
69	0.318190665
70	0.3181259583
71	0.3180426411
72	0.3179645885
73	0.3178780094
74	0.3177885567
75	0.3177112817
76	0.3176368124
77	0.3175635967
78	0.3175057102
79	0.3174529108
80	0.3173989799
81	0.3173538699
82	0.3172921077
83	0.3172465288
84	0.3172031356
85	0.3171492269
86	0.3170993032
87	0.3170378882
88	0.3169668489
89	0.3169039705
90	0.3168290535
91	0.3167724594
92	0.316721613
93	0.3166674453
94	0.3166142153
95	0.3165648259
96	0.3165108836
97	0.3164634239
98	0.3164072227
99	0.3163416468
100	0.3162931463
101	0.3162275926
102	0.3161785108
103	0.3161378545
104	0.3160975423
105	0.3160897238
106	0.3160465659
107	0.3159878905
108	0.3159603516
109	0.3159096844
110	0.3158613099
111	0.3158018085
112	0.3157545683
113	0.3157196909
114	0.3156617628
115	0.315608885
116	0.3155641606
117	0.3155300023
118	0.3154857623
119	0.3154465129
120	0.3153986215
121	0.3153560299
122	0.3152950943
123	0.3152494837
124	0.3151989833
125	0.3151699038
126	0.3151327198
127	0.3150985444
128	0.3150421212
129	0.3150130699
130	0.3149737497
131	0.3149331154
132	0.3148824598
133	0.3148441012
134	0.314813654
135	0.3147821001
136	0.3147468323
137	0.3146980082
138	0.3146557749
139	0.3146246298
140	0.3145777409
141	0.3145183977
142	0.3144870964
143	0.3144374558
144	0.3143950355
145	0.314358898
146	0.3143058696
147	0.3142539146
148	0.3142106255
149	0.314164097
150	0.3141052529
151	0.3140625423
152	0.3140299703
153	0.3139737289
154	0.3139293445
155	0.3138803259
156	0.3138398068
157	0.3137936619
158	0.3137405313
159	0.3137010111
160	0.3136690007
161	0.3136285354
162	0.3135822903
163	0.3135284988
164	0.3134839073
165	0.3134273051
166	0.3133816339
167	0.313331787
168	0.3132856866
169	0.3132418902
170	0.3131982537
171	0.3131516378
172	0.3131043151
173	0.3130634745
174	0.3130156481
175	0.3129717328
176	0.3129178285
177	0.3128652081
178	0.3128238426
179	0.3127766757
180	0.3127381402
181	0.3126948727
182	0.3126554131
183	0.3126225917
184	0.3125708589
185	0.3125306598
186	0.3124847426
187	0.3124428672
188	0.3124015621
189	0.3123584329
190	0.3123194528
191	0.3122777834
192	0.3122284733
193	0.3121784952
194	0.3121308472
195	0.312097631
196	0.3120541279
197	0.3120080785
198	0.3119759175
199	0.3119378431
200	0.3118920833
201	0.3118447425
202	0.3118077861
203	0.3117600582
204	0.3117253326
205	0.3116867055
206	0.3116515915
207	0.3116104207
208	0.3115696321
209	0.3115265083
210	0.3114944574
211	0.3114410021
212	0.3113964911
213	0.3113540979
214	0.3113064911
215	0.3112529558
216	0.3112076187
217	0.3111652468
218	0.3111288192
219	0.3110935356
220	0.311067917
221	0.3110276808
222	0.310989627
223	0.3109503737
224	0.3109085682
225	0.3108619765
226	0.3108232028
227	0.3107949626
228	0.3107484448
229	0.3107271381
230	0.3106949008
231	0.3106554475
232	0.3106169339
233	0.3105705424
234	0.3105241143
235	0.3104996172
236	0.3104658408
237	0.3104250168
238	0.3103964902
239	0.3103556189
240	0.310326018
241	0.3102817296
242	0.3102454946
243	0.3102143316
244	0.3101741583
245	0.3101488083
246	0.3101102568
247	0.310080447
248	0.3100514637
249	0.3100153159
250	0.3099760148
251	0.3099449151
252	0.3099073332
253	0.3098707037
254	0.3098171406
255	0.3097815291
256	0.3097583889
257	0.3097267027
258	0.3096772032
259	0.3096337143
260	0.3095969651
261	0.3095678466
262	0.3095208777
263	0.3094804956
264	0.3094366802
265	0.3093986636
266	0.3093677233
267	0.3093314375
268	0.309308252
269	0.3092766458
270	0.3092354119
271	0.3091978025
272	0.3091653253
273	0.3091332604
274	0.309107549
275	0.3090712411
276	0.3090273936
277	0.3089789418
278	0.3089412288
279	0.308899754
280	0.3088710757
281	0.3088334683
282	0.3087966258
283	0.3087547376
284	0.308735752
285	0.3087052938
286	0.3086693825
287	0.3086281732
288	0.3085956746
289	0.3085683912
290	0.3085380189
291	0.3085046904
292	0.3084636157
293	0.3084333084
294	0.3084016219
295	0.3083786763
296	0.308344038
297	0.3083202524
298	0.3082930013
299	0.3082596977
300	0.3082244219
301	0.3081897663
302	0.3081646893
303	0.3081348013
304	0.30809572
305	0.3080601807
306	0.308010557
307	0.3079770786
308	0.3079272217
309	0.3078891215
310	0.3078484734
311	0.3078190511
312	0.3077859871
313	0.3077458693
314	0.3077115515
315	0.3076747883
316	0.3076388447
317	0.3076079491
318	0.3075803856
319	0.3075368112
320	0.3075050565
321	0.3074720106
322	0.3074451167
323	0.307419489
324	0.3073885482
325	0.3073568353
326	0.3073190342
327	0.307285931
328	0.3072549548
329	0.3072199723
330	0.3071843258
331	0.3071690561
332	0.3071319384
333	0.3071091721
334	0.3070849797
335	0.3070468255
336	0.3070185826
337	0.3069928148
338	0.3069572235
339	0.306927816
340	0.3069024156
341	0.3068695732
342	0.3068426509
343	0.3068029896
344	0.3067778371
345	0.3067437326
346	0.3067117824
347	0.3066792785
348	0.3066531827
349	0.3066261282
350	0.3065909096
351	0.3065612631
352	0.306541188
353	0.3065127414
354	0.3064846168
355	0.3064596547
356	0.3064241312
357	0.3063923738
358	0.3063694458
359	0.3063547512
360	0.3063229171
361	0.3062877923
362	0.3062662976
363	0.3062442074
364	0.3062124988
365	0.3061898217
366	0.3061465354
367	0.3061205823
368	0.3060814809
369	0.3060572531
370	0.3060256162
371	0.3059962049
372	0.3059732682
373	0.3059423099
374	0.3059155042
375	0.3058912675
376	0.3058662555
377	0.3058227331
378	0.3057794695
379	0.3057452268
380	0.3057165375
381	0.3056897271
382	0.3056602443
383	0.3056298696
384	0.305615302
385	0.3055893745
386	0.3055615351
387	0.3055263029
388	0.3054905112
389	0.3054505543
390	0.3054175825
391	0.3053883812
392	0.3053633913
393	0.3053372613
394	0.3053221948
395	0.3052867053
396	0.3052448368
397	0.3052125811
398	0.3051756185
399	0.3051452311
400	0.3051061625
401	0.3050769092
402	0.305049161
403	0.3050115509
404	0.3049871402
405	0.3049566651
406	0.304930972
407	0.3048919002
408	0.3048687295
409	0.3048366101
410	0.304815366
411	0.3047891794
412	0.3047661373
413	0.3047380529
414	0.3047012066
415	0.3046685004
416	0.3046389536
417	0.3046014794
418	0.304565599
419	0.3045270829
420	0.3045042887
421	0.3044616835
422	0.3044277814
423	0.3044122272
424	0.3043861833
425	0.3043536264
426	0.3043188136
427	0.3042960692
428	0.3042714989
429	0.3042368987
430	0.3042117128
431	0.3041810266
432	0.3041520394
433	0.3041273317
434	0.3040930068
435	0.3040626573
436	0.304034706
437	0.304002068
438	0.3039672197
439	0.3039358074
440	0.3039125013
441	0.303879563
442	0.3038470296
443	0.3038189759
444	0.3037926114
445	0.3037624099
446	0.3037381808
447	0.3037010137
448	0.303663914
449	0.3036314633
450	0.3035955227
451	0.3035680528
452	0.3035445993
453	0.3035222944
454	0.3034900729
455	0.3034668576
456	0.3034372318
457	0.3033988374
458	0.303379094
459	0.3033502026
460	0.3033268593
461	0.3032985425
462	0.303268237
463	0.3032362525
464	0.3032199447
465	0.303186383
466	0.3031599508
467	0.3031280664
468	0.3031092258
469	0.3030829097
470	0.303041177
471	0.3030141837
472	0.3029851518
473	0.302959041
474	0.3029251738
475	0.3029025745
476	0.3028710488
477	0.3028423138
478	0.3028115487
479	0.3027898841
480	0.3027568595
481	0.3027225821
482	0.3026955
483	0.3026763317
484	0.3026393138
485	0.3026068752
486	0.3025831279
487	0.3025440155
488	0.3025263751
489	0.3025055629
490	0.3024726295
491	0.3024428155
492	0.30240041
493	0.3023777368
494	0.3023521608
495	0.3023296705
496	0.3023106617
497	0.302264414
498	0.3022372324
499	0.3022068098
500	0.3021791987
501	0.3021569631
502	0.3021304591
503	0.3021041623
504	0.3020835652
505	0.3020465167
506	0.3020127708
507	0.3019823185
508	0.3019627658
509	0.3019333648
510	0.3019127625
511	0.3018798549
